sp_num,sp_name,sp_ori_name,sp_pr_code
275,/2024/05/13/slides_09_11_02.png,slides_09_11_02.png,KLF05PBEU
276,/2024/05/13/slides_09_11_03.png,slides_09_11_03.png,KLF05PBEU
277,/2024/05/13/slides_09_12_01.png,slides_09_12_01.png,KLF04PKEU
278,/2024/05/13/slides_09_12_02.png,slides_09_12_02.png,KLF04PKEU
279,/2024/05/13/slides_09_12_03.png,slides_09_12_03.png,KLF04PKEU
280,/2024/05/13/slides_09_13_01.png,slides_09_13_01.png,KLF03RDEU
281,/2024/05/13/slides_09_13_02.png,slides_09_13_02.png,KLF03RDEU
282,/2024/05/13/slides_09_13_03.png,slides_09_13_03.png,KLF03RDEU
283,/2024/05/13/slides_09_14_01.png,slides_09_14_01.png,KLF05RDEU
284,/2024/05/13/slides_09_14_02.png,slides_09_14_02.png,KLF05RDEU
285,/2024/05/13/slides_09_14_03.png,slides_09_14_03.png,KLF05RDEU
286,/2024/05/13/slides_09_15_01.png,slides_09_15_01.png,KLF03SSEU
287,/2024/05/13/slides_09_15_02.png,slides_09_15_02.png,KLF03SSEU
288,/2024/05/13/slides_09_15_03.png,slides_09_15_03.png,KLF03SSEU
289,/2024/05/13/slides_09_16_01.png,slides_09_16_01.png,KLF04SSEU
290,/2024/05/13/slides_09_16_02.png,slides_09_16_02.png,KLF04SSEU
291,/2024/05/13/slides_09_16_03.png,slides_09_16_03.png,KLF04SSEU
292,/2024/05/13/slides_09_17_01.png,slides_09_17_01.png,KLF04BLEU
293,/2024/05/13/slides_09_17_02.png,slides_09_17_02.png,KLF04BLEU
294,/2024/05/13/slides_09_17_03.png,slides_09_17_03.png,KLF04BLEU
295,/2024/05/13/slides_09_18_01.png,slides_09_18_01.png,KLF05BLEU
296,/2024/05/13/slides_09_18_02.png,slides_09_18_02.png,KLF05BLEU
297,/2024/05/13/slides_09_18_03.png,slides_09_18_03.png,KLF05BLEU
298,/2024/05/13/slides_09_19_01.png,slides_09_19_01.png,KLF03WHMEU
299,/2024/05/13/slides_09_19_02.png,slides_09_19_02.png,KLF03WHMEU
300,/2024/05/13/slides_09_19_03.png,slides_09_19_03.png,KLF03WHMEU
301,/2024/05/13/slides_09_20_01.png,slides_09_20_01.png,KLF05WHEU
302,/2024/05/13/slides_09_20_02.png,slides_09_20_02.png,KLF05WHEU
303,/2024/05/13/slides_09_20_03.png,slides_09_20_03.png,KLF05WHEU
304,/2024/05/13/slides_09_21_01.png,slides_09_21_01.png,KLF03PKEU
305,/2024/05/13/slides_09_21_02.png,slides_09_21_02.png,KLF03PKEU
306,/2024/05/13/slides_09_21_03.png,slides_09_21_03.png,KLF03PKEU
307,/2024/05/13/slides_09_22_01.png,slides_09_22_01.png,KLF04RDEU
308,/2024/05/13/slides_09_22_02.png,slides_09_22_02.png,KLF04RDEU
309,/2024/05/13/slides_09_22_03.png,slides_09_22_03.png,KLF04RDEU
310,/2024/05/13/slides_09_23_01.png,slides_09_23_01.png,KLF03WHEU
311,/2024/05/13/slides_09_23_02.png,slides_09_23_02.png,KLF03WHEU
312,/2024/05/13/slides_09_23_03.png,slides_09_23_03.png,KLF03WHEU
313,/2024/05/13/slides_09_24_01.png,slides_09_24_01.png,KLF03PBEU
314,/2024/05/13/slides_09_24_02.png,slides_09_24_02.png,KLF03PBEU
315,/2024/05/13/slides_09_24_03.png,slides_09_24_03.png,KLF03PBEU
316,/2024/05/13/slides_09_25_01.png,slides_09_25_01.png,KLF04PBEU
317,/2024/05/13/slides_09_25_02.png,slides_09_25_02.png,KLF04PBEU
318,/2024/05/13/slides_09_25_03.png,slides_09_25_03.png,KLF04PBEU
319,/2024/05/13/slides_09_26_01.png,slides_09_26_01.png,KLF05PKEU
320,/2024/05/13/slides_09_26_02.png,slides_09_26_02.png,KLF05PKEU
321,/2024/05/13/slides_09_26_03.png,slides_09_26_03.png,KLF05PKEU
322,/2024/05/13/slides_09_27_01.png,slides_09_27_01.png,KLF03BLEU
323,/2024/05/13/slides_09_27_02.png,slides_09_27_02.png,KLF03BLEU
324,/2024/05/13/slides_09_27_03.png,slides_09_27_03.png,KLF03BLEU
325,/2024/05/13/slides_09_28_01.png,slides_09_28_01.png,KLF03BLMEU
326,/2024/05/13/slides_09_28_02.png,slides_09_28_02.png,KLF03BLMEU
327,/2024/05/13/slides_09_28_03.png,slides_09_28_03.png,KLF03BLMEU
328,/2024/05/13/slides_09_29_01.png,slides_09_29_01.png,KLF03GREU
329,/2024/05/13/slides_09_29_02.png,slides_09_29_02.png,KLF03GREU
330,/2024/05/13/slides_09_29_03.png,slides_09_29_03.png,KLF03GREU
331,/2024/05/13/slides_10_01_01.png,slides_10_01_01.png,TSF01WHMEU
332,/2024/05/13/slides_10_01_02.png,slides_10_01_02.png,TSF01WHMEU
333,/2024/05/13/slides_10_01_03.png,slides_10_01_03.png,TSF01WHMEU
334,/2024/05/13/slides_10_02_01.png,slides_10_02_01.png,TSF03CREU
335,/2024/05/13/slides_10_02_02.png,slides_10_02_02.png,TSF03CREU
336,/2024/05/13/slides_10_02_03.png,slides_10_02_03.png,TSF03CREU
337,/2024/05/13/slides_10_03_01.png,slides_10_03_01.png,TSF01RGEU
338,/2024/05/13/slides_10_03_02.png,slides_10_03_02.png,TSF01RGEU
339,/2024/05/13/slides_10_03_03.png,slides_10_03_03.png,TSF01RGEU
340,/2024/05/13/slides_10_04_01.png,slides_10_04_01.png,TSF01CHMEU
341,/2024/05/13/slides_10_04_02.png,slides_10_04_02.png,TSF01CHMEU
342,/2024/05/13/slides_10_04_03.png,slides_10_04_03.png,TSF01CHMEU
343,/2024/05/13/slides_10_05_01.png,slides_10_05_01.png,TSF01PGEU
344,/2024/05/13/slides_10_05_02.png,slides_10_05_02.png,TSF01PGEU
345,/2024/05/13/slides_10_05_03.png,slides_10_05_03.png,TSF01PGEU
346,/2024/05/13/slides_10_06_01.png,slides_10_06_01.png,TSF03PGEU
347,/2024/05/13/slides_10_06_02.png,slides_10_06_02.png,TSF03PGEU
348,/2024/05/13/slides_10_06_03.png,slides_10_06_03.png,TSF03PGEU
349,/2024/05/13/slides_10_07_01.png,slides_10_07_01.png,TSF01PBEU
350,/2024/05/13/slides_10_07_02.png,slides_10_07_02.png,TSF01PBEU
351,/2024/05/13/slides_10_07_03.png,slides_10_07_03.png,TSF01PBEU
352,/2024/05/13/slides_10_08_01.png,slides_10_08_01.png,TSF03PBEU
353,/2024/05/13/slides_10_08_02.png,slides_10_08_02.png,TSF03PBEU
354,/2024/05/13/slides_10_08_03.png,slides_10_08_03.png,TSF03PBEU
355,/2024/05/13/slides_10_09_01.png,slides_10_09_01.png,TSF01PKEU
356,/2024/05/13/slides_10_09_02.png,slides_10_09_02.png,TSF01PKEU
357,/2024/05/13/slides_10_09_03.png,slides_10_09_03.png,TSF01PKEU
358,/2024/05/13/slides_10_10_01.png,slides_10_10_01.png,TSF03PKEU
359,/2024/05/13/slides_10_10_02.png,slides_10_10_02.png,TSF03PKEU
360,/2024/05/13/slides_10_10_03.png,slides_10_10_03.png,TSF03PKEU
361,/2024/05/13/slides_10_11_01.png,slides_10_11_01.png,TSF01RDEU
362,/2024/05/13/slides_10_11_02.png,slides_10_11_02.png,TSF01RDEU
363,/2024/05/13/slides_10_11_03.png,slides_10_11_03.png,TSF01RDEU
364,/2024/05/13/slides_10_12_01.png,slides_10_12_01.png,TSF03RDEU
365,/2024/05/13/slides_10_12_02.png,slides_10_12_02.png,TSF03RDEU
366,/2024/05/13/slides_10_12_03.png,slides_10_12_03.png,TSF03RDEU
367,/2024/05/13/slides_10_13_01.png,slides_10_13_01.png,TSF01UJEU
368,/2024/05/13/slides_10_13_02.png,slides_10_13_02.png,TSF01UJEU
369,/2024/05/13/slides_10_13_03.png,slides_10_13_03.png,TSF01UJEU
370,/2024/05/13/slides_10_14_01.png,slides_10_14_01.png,TSF01BLEU
371,/2024/05/13/slides_10_14_02.png,slides_10_14_02.png,TSF01BLEU
372,/2024/05/13/slides_10_14_03.png,slides_10_14_03.png,TSF01BLEU
373,/2024/05/13/slides_10_15_01.png,slides_10_15_01.png,TSF03BLEU
374,/2024/05/13/slides_10_15_02.png,slides_10_15_02.png,TSF03BLEU
375,/2024/05/13/slides_10_15_03.png,slides_10_15_03.png,TSF03BLEU
376,/2024/05/13/slides_10_16_01.png,slides_10_16_01.png,TSF01BLMEU
377,/2024/05/13/slides_10_16_02.png,slides_10_16_02.png,TSF01BLMEU
378,/2024/05/13/slides_10_16_03.png,slides_10_16_03.png,TSF01BLMEU
379,/2024/05/13/slides_10_17_01.png,slides_10_17_01.png,TSF01WHEU
